Date,CountrySubArea,CountrySubAreaUnit,Quantity
2015 01,South,Fujian,1170
2015 02,South,Fujian,1200
2015 03,South,Fujian,1180
2015 04,South,Fujian,1250
2015 05,South,Fujian,1310
2015 06,South,Fujian,1220
2015 07,South,Fujian,1330
2015 08,South,Fujian,1470
2015 09,South,Fujian,1470
2015 10,South,Fujian,1390
2015 11,South,Fujian,1450
2015 12,South,Fujian,1280
2015 13,South,Fujian,1290
2015 14,South,Fujian,1320
2015 15,South,Fujian,1300
2015 16,South,Fujian,1290
2015 17,South,Fujian,1510
2015 18,South,Fujian,1290
2015 19,South,Fujian,1170
2015 20,South,Fujian,1060
2015 21,South,Fujian,1480
2015 22,South,Fujian,1590
2015 23,South,Fujian,1650
2015 24,South,Fujian,1630
2015 25,South,Fujian,1730
2015 26,South,Fujian,1550
2015 27,South,Fujian,1690
2015 28,South,Fujian,1450
2015 29,South,Fujian,1230
2015 30,South,Fujian,1290
2015 31,South,Fujian,1190
2015 32,South,Fujian,1290
2015 33,South,Fujian,1290
2015 34,South,Fujian,1300
2015 35,South,Fujian,1210
2015 36,South,Fujian,1160
2015 37,South,Fujian,1110
2015 38,South,Fujian,1060
2015 39,South,Fujian,1060
2015 40,South,Fujian,1170
2015 41,South,Fujian,1170
2015 42,South,Fujian,1300
2015 43,South,Fujian,1190
2015 44,South,Fujian,1170
2015 45,South,Fujian,1060
2015 46,South,Fujian,1190
2015 47,South,Fujian,1290
2015 48,South,Fujian,1370
2015 49,South,Fujian,1410
2015 50,South,Fujian,1330
2015 51,South,Fujian,1350
2015 52,South,Fujian,1390
2015 53,South,Fujian,1350
2016 01,South,Fujian,1380
2016 02,South,Fujian,1400
2016 03,South,Fujian,1480
2016 04,South,Fujian,1380
2016 05,South,Fujian,1320
2016 06,South,Fujian,1310
2016 07,South,Fujian,1440
2016 08,South,Fujian,1330
2016 09,South,Fujian,1320
2016 10,South,Fujian,1260
2016 11,South,Fujian,1480
2016 12,South,Fujian,1440
2016 13,South,Fujian,1410
2016 14,South,Fujian,1350
2016 15,South,Fujian,1340
2016 16,South,Fujian,1250
2016 17,South,Fujian,1520
2016 18,South,Fujian,1420
2016 19,South,Fujian,1520
2016 20,South,Fujian,1490
2016 21,South,Fujian,1530
2016 22,South,Fujian,1430
2016 23,South,Fujian,1350
2016 24,South,Fujian,1370
2016 25,South,Fujian,1370
2016 26,South,Fujian,1360
2016 27,South,Fujian,1390
2016 28,South,Fujian,1250
2016 29,South,Fujian,1320
2016 30,South,Fujian,1280
2016 31,South,Fujian,1250
2016 32,South,Fujian,1200
2016 33,South,Fujian,1330
2016 34,South,Fujian,1260
2016 35,South,Fujian,1460
2016 36,South,Fujian,1530
2016 37,South,Fujian,1480
2016 38,South,Fujian,1560
2016 39,South,Fujian,1670
2016 40,South,Fujian,1730
2016 41,South,Fujian,1750
2016 42,South,Fujian,1540
2016 43,South,Fujian,1540
2016 44,South,Fujian,1410
2016 45,South,Fujian,1490
2016 46,South,Fujian,1380
2016 47,South,Fujian,1460
2016 48,South,Fujian,1340
2016 49,South,Fujian,1350
2016 50,South,Fujian,1370
2016 51,South,Fujian,1410
2016 52,South,Fujian,1260
2017 01,South,Fujian,1350
2017 02,South,Fujian,1360
2017 03,South,Fujian,1380
2017 04,South,Fujian,1390
2017 05,South,Fujian,1490
2017 06,South,Fujian,1630
2017 07,South,Fujian,1580
2017 08,South,Fujian,1590
2017 09,South,Fujian,1450
2017 10,South,Fujian,1590
2017 11,South,Fujian,1500
2017 12,South,Fujian,1530
2017 13,South,Fujian,1420
2017 14,South,Fujian,1540
2017 15,South,Fujian,1460
2017 16,South,Fujian,1440
2017 17,South,Fujian,1550
2017 18,South,Fujian,1520
2017 19,South,Fujian,1630
2017 20,South,Fujian,1710
2017 21,South,Fujian,1720
2017 22,South,Fujian,1790
2017 23,South,Fujian,1680
2017 24,South,Fujian,1850
2017 25,South,Fujian,2110
2017 26,South,Fujian,1930
2017 27,South,Fujian,1870
2017 28,South,Fujian,1970
2017 29,South,Fujian,1790
2017 30,South,Fujian,1850
2017 31,South,Fujian,1790
