articlesShortDescription,Date
"A government-appointed panel has proposed setting up India's first iron ore exchange to determine the domestic sale price of the key steelmaking raw material, according to a document reviewed by Reuters and a source with direct knowledge of the matter.",2024-04-02 10:36:27
"Around 400 train drivers for BHP's Western Australian iron ore division will begin industrial action late this week after rejecting an offer that they said fell short on working schedules, a union representative told Reuters on Monday.",2023-11-20 05:37:03
"China's state planning commission will work with the Dalian Commodity Exchange to study ways to strengthen iron ore market supervision, in response to the recent unusual surge of iron ore prices, it said on Wednesday.",2023-11-15 13:50:01
China's state-backed Dalian Commodity Exchange on Wednesday set a limit on daily trading volumes for iron ore futures at no more than 500 lots on contracts for January to May 2024 delivery.,2023-11-15 12:19:48
"China's crude steel output fell for the fourth consecutive month in October, official data showed on Wednesday, as more mills implemented furnace maintenance amid thinning margins and disappointing demand in the peak consumption season.",2023-11-15 03:49:21
"Singapore benchmark down 0.8%, but trades near 1-1/2-year high",2023-11-14 08:01:46
"Iron ore futures climbed on Tuesday, as market participants assessed property sector-related stimulus in top consumer China and a fall in shipments, although gains were limited by weaker demand for steel.",2023-11-14 04:20:39
"Brazil plans to expand its railway network with a 40 billion reais ($8 billion) fund that will be financed by removing discounts given to rail companies by previous government contracts, Transport Minister Renan Filho told Reuters.",2023-11-13 20:11:01
"Brazil plans to expand its railway network with a 40 billion reais ($8 billion) fund that will be financed by removing discounts given to rail companies by previous government contracts, Transport Minister Renan Filho told Reuters.",2023-11-13 20:11:01
"China's commerce ministry on Tuesday said it will require traders of crude oil, iron ore, copper concentrate and potash, which are subject to import licences, to submit real-time information on shipments as part of efforts to stabilize trade.",2023-11-07 06:08:33
"China's commerce ministry said on Tuesday it will require buyers of crude oil, iron ore, copper concentrate and potassium fertiliser that are subject to import licences to meet information reporting requirements.",2023-11-07 04:37:14
"China's iron ore imports in October fell 1.8% from September, customs data showed on Tuesday, dropping for a second straight month as narrowing steel margins, wider production cuts among steelmakers and high prices curbed buyers' appetites.",2023-11-07 04:07:14
"Australian Prime Minister Anthony Albanese stopped by Beijing's Temple of Heaven on Monday as he followed in the footsteps of the first Australian leader to visit China, retracing a walk made five decades ago as ties were being established.",2023-11-06 07:07:23
"India is looking at potentially taxing high-carbon goods locally, and then using the proceeds to support its green energy transition, to avoid the European Union's carbon tax on imports, the country's trade minister said on Thursday.",2023-11-02 14:54:24
"Iron ore strengthened on Wednesday as positive signals from top consumer China's latest financial meeting provided a further boost to market sentiment, on top of the key steelmaking ingredient's sound fundamentals.",2023-11-01 03:37:16
Survivors of killings and violence at an iron ore mine in Guinea a decade ago are suing the government in a French court to enforce a ruling by West Africa's regional court that they be given monetary compensation.,2023-10-31 12:24:15
"Australia's slow pace of mining approvals is diminishing its attraction as a global investment destination, Hancock Prospecting, owned by Australia's richest person Gina Rinehart, said on Tuesday.",2023-10-31 06:43:46
"Australia's slow pace of mining approvals is diminishing its attraction as a global investment destination, Hancock Prospecting, owned by Australia's richest person Gina Rinehart, said on Tuesday.",2023-10-31 06:43:46
"* Brazil's president says no need to erase fiscal deficit next year * Vale's Q3 profit surpasses expectations * Latam stocks down 0.9%, FX flat For the week EM stocks down 0.7%, currencies up 0.1% (Updated at 3:45pm ET/1945 GMT) By Johann M Cherian and Lisa Pauline Mattackal...",2023-10-27 20:32:46
"* Brazil's president says no need to erase fiscal deficit next year * Vale's Q3 profit surpasses expectations * Latam stocks down 0.9%, FX flat For the week EM stocks down 0.7%, currencies up 0.1% (Updated at 3:45pm ET/1945 GMT) By Johann M Cherian and Lisa Pauline Mattackal...",2023-10-27 20:32:46
"Nearly 350 BHP iron ore rail workers in Australia, including train drivers, have approved industrial action plans that could include work stoppages of up to 24 hours due to disputes over pay and conditions, voting results showed.",2023-10-27 07:05:14
"Nearly 350 BHP iron ore rail workers in Western Australia, including train drivers, have approved industrial action plans that could include work stoppages of up to 24 hours due to disputes over pay and conditions, voting results showed.",2023-10-27 06:49:48
"Brazilian miner Vale SA reported on Thursday a 36% year-on-year decline in third-quarter net profit, though it still landed above market expectations.",2023-10-26 21:55:32
"Brazilian miner Vale SA reported on Thursday a 36% year-on-year decline in third-quarter net profit, landing above analyst estimates.",2023-10-26 21:48:35
"Brazilian miner Vale will shell out $2 billion to its shareholders, it said on Thursday, and launch a share buyback program for up to 150 million shares.",2023-10-26 19:24:12
"Brazilian miner Vale said on Thursday it will pay around 2.33 reais per share in dividends and interest on equity, in addition to launching a share buyback program of up to 150 million shares.",2023-10-26 19:23:20
"China was the top exporter of finished steel to India in the first six months of the fiscal year that began in April, according to provisional Indian government data seen by Reuters on Thursday.",2023-10-26 11:07:18
"Australian miner Fortescue on Thursday reported a 3% drop in its quarterly iron ore shipments because of increased maintenance and lower port stockpiles, while operational problems at its Iron bridge project limited processing.",2023-10-25 22:54:52
China's biggest listed steelmaker Baoshan Iron & Steel on Tuesday reported a 127% surge in third-quarter net profit on reduced costs and higher steel prices supported by government policies.,2023-10-24 12:16:43
"Global miner Anglo American on Tuesday lowered its 2023 production guidance for copper on curtailments at its Chilean operations, even as its output of the metal rose 42% in the third quarter.",2023-10-24 06:30:38
"Brazilian holding firm J&F Investimentos will invest more than $1 billion in the mining assets it bought from Vale last year, it said.",2023-10-19 19:13:51
"China's crude steel output fell 5% in September from August, official data showed on Wednesday, confounding some market expectations for a rise after steelmakers had lifted utilisation rates amid the peak construction season.",2023-10-18 03:41:20
"Brazilian miner Vale SA reported on Tuesday a 3.9% year-on-year decline in its third-quarter iron ore output, hit by a production snag at a key mine.",2023-10-17 22:20:22
"Brazilian miner Vale SA reported on Tuesday a 3.9% year-on-year decline in its third-quarter iron ore output, hit by a production snag at a key mine.",2023-10-17 22:20:22
Brazilian miner Vale SA reported on Tuesday a 3.9% year-on-year decline in its third-quarter iron ore production.,2023-10-17 22:15:35
"* Argentine stock markets jumps 5% to hit record high * Vale creates company to sell sand from iron ore tailings * Brazil Aug services activity below all estimates * Latam FX up 0.3%, stocks up 0.4% By Johann M Cherian Oct 17 (Reuters) - Latin American stocks and currencies...",2023-10-17 15:29:51
"Nigeria is toughening up licensing rules for foreign mining companies to push them to boost processing and refining of metals like lithium and zinc within the country, its minister of mines said on Tuesday.",2023-10-17 12:51:58
"Brazilian miner Vale said on Tuesday it has created a company that will sell and distribute sand obtained from its iron ore tailings, part of its efforts to reduce the disposal of such materials in dams or piles following major disasters.",2023-10-17 12:29:22
"Brazilian miner Vale said on Tuesday it has created a company that will sell and distribute sand obtained from its iron ore tailings, part of its efforts to reduce the disposal of such materials in dams or piles following major disasters.",2023-10-17 12:29:22
"Higher-than-expected steel production in China this year is boosting consumption of iron ore, eroding domestic stocks of the raw material and lifting imports above previous years, analysts said.",2023-10-17 10:44:08
"Higher-than-expected steel production in China this year is boosting consumption of iron ore, eroding domestic stocks of the raw material and lifting imports above previous years, analysts said.",2023-10-17 10:44:08
"Higher-than-expected steel production in China this year is boosting consumption of iron ore, eroding domestic stocks of the raw material and lifting imports above previous years, analysts said.",2023-10-17 10:36:52
"Higher-than-expected steel production in China this year is boosting consumption of iron ore, eroding domestic stocks of the raw material and lifting imports above previous years, analysts said.",2023-10-17 10:36:52
"Dalian iron ore futures extended gains on Tuesday, as traders remained optimistic about the near-term demand outlook amid low inventories and a slower-than-expected pace in falling consumption due to production cuts among some steel mills.",2023-10-17 07:53:37
"Dalian iron ore futures extended gains on Tuesday, as traders remained optimistic about the near-term demand outlook amidst low inventories and a slower-than-expected pace in falling consumption due to production cuts among some steel mills.",2023-10-17 02:57:55
"China's iron ore imports in September fell 4.9% from August, customs data showed on Friday, as declining steel margins and rising domestic supply curbed buying.",2023-10-13 03:49:14
"China imported 7.15 million metric tons of soybeans in September, customs data showed on Friday, falling 7.3% from a year ago after a spike in prices curbed recent purchases.",2023-10-13 03:26:31
"Iron ore investors appear to be taking the view that bad news is actually good news, bidding up the spot price even as the property woes afflicting top importer China appear to be worsening.",2023-10-12 04:45:10
"Australian shares edged higher on Wednesday, with the benchmark logging its fifth straight session of gains, buoyed by domestic mining stocks on strong commodity prices, while risk appetite improved on the expectations of the U.S. Federal Reserve steering away from rate...",2023-10-11 06:07:09
"Iron ore futures dipped to six-week lows on Tuesday, dragged lower by concerns about looming steel production cuts in China and uncertainty over the country's struggling property sector.",2023-10-10 07:30:40
"Global miner Rio Tinto has found no damage to the structure of a rock shelter at an Aboriginal heritage site in Western Australia that was impacted by blasting at its Nammuldi iron ore operations, it said after a visit over the weekend.",2023-10-10 00:00:21
"Australia's Rio Tinto said on Monday it expects iron ore shipments of 323 million to 338 million tons in fiscal 2024 at Pilbara, marginally above its forecast for 2023, as operating conditions continue to improve.",2023-10-09 06:37:14
"Australia's Rio Tinto said on Monday it expects iron ore shipments of 323 million to 338 million tons in fiscal 2024 at Pilbara, marginally above its forecast for 2023, as operating conditions continue to improve.",2023-10-09 06:37:14
"Indian steel companies plan to raise prices of various grades of the alloy due to rising import costs of coking coal, especially from major producer Australia, officials at four domestic mills said. Steel mills are likely to raise rates by $25 to $50 a metric ton by December...",2023-10-06 09:59:54
"Liberia's president, George Weah, has a message for voters ahead of Tuesday's election: he needs more time. After a first term marred by corruption allegations and continued hardship, many still need convincing.",2023-10-06 08:04:22
"Liberia's president, George Weah, has a message for voters ahead of Tuesday's election: he needs more time. After a first term marred by corruption allegations and continued hardship, many still need convincing.",2023-10-06 08:04:22
"Global miner BHP Group is focused on cutting costs to drive growth while being patient on buying assets, its chief development officer Johan van Jaarsveld said on Thursday in Melbourne.",2023-10-05 02:58:17
"Global miner BHP Group is prepared to wait a decade or more for the right buying opportunity at the right price, Chief Development Officer Johan van Jaarsveld said on Thursday in Melbourne. (Reporting by Melanie Burton; Editing by Tom Hogue)",2023-10-05 02:57:30
Brazilian miner Vale said on Wednesday that Vale Base Metals has signed a long-term agreement with BluestOne for the reuse of tailings from its Onca Puma mining operations in northern Brazil.,2023-10-04 15:47:09
Brazilian miner Vale said on Wednesday that Vale Base Metals has signed a long-term agreement with BluestOne for the reuse of tailings from its Onca Puma mining operations in northern Brazil.,2023-10-04 15:47:09
"India's government has assured domestic steelmakers that it is looking at ways to address their concerns about the EU's planned tariffs on imports of high-carbon goods and is discussing the issue with its European counterparts, a government official said.",2023-10-04 08:01:00
"The heat is coming out of global commodity prices and the risks to the outlook are ""evenly balanced"".",2023-10-03 05:09:27
"Damage caused to an Aboriginal rock shelter by mining giant Rio Tinto in August underscores the need for better heritage protection laws and a greater say for Indigenous groups promised in this month's Voice referendum, advocates say.",2023-10-03 03:18:19
Iron ore heads into a week-long Chinese holiday hiatus with prices elevated and mixed signals as to the strength of demand in the world's largest importer of the steel-making raw material.,2023-09-29 12:00:54
Iron ore heads into a week-long Chinese holiday hiatus with prices elevated and mixed signals as to the strength of demand in the world's largest importer of the steel-making raw material.,2023-09-29 04:30:53
"The head of Brazil's state oil firm Petrobras said on Thursday it will sign a memorandum of understanding with mining giant Vale to study potential joint ventures in renewable energy, even as looks to new suppliers for diesel.",2023-09-28 17:42:40
"India's NMDC is unable to export low-grade iron ore to China due to logistics issues, a source with direct knowledge of the matter told Reuters.",2023-09-27 09:02:55
"* Brazil's current account deficit shrinks in August * Metal prices fall on China demand * Latam FX down 1.2%, stocks down 1.4% (Updated at 3:42 pm ET/ 1942 GMT) By Johann M Cherian, Amruta Khandekar and Lisa Pauline Mattackal Sept 25 (Reuters) - Latin American currencies...",2023-09-25 20:09:19
"* Brazil's current account deficit shrinks in August * Metal prices fall on China demand * Latam FX down 1.2%, stocks down 1.4% (Updated at 3:42 pm ET/ 1942 GMT) By Johann M Cherian, Amruta Khandekar and Lisa Pauline Mattackal Sept 25 (Reuters) - Latin American currencies...",2023-09-25 20:09:19
"* Brazil's current account deficit shrinks in August * Metal prices fall on China demand * Latam FX down 1.2%, stocks down 1.4% (Updated at 3:42 pm ET/ 1942 GMT) By Johann M Cherian, Amruta Khandekar and Lisa Pauline Mattackal Sept 25 (Reuters) - Latin American currencies...",2023-09-25 20:09:19
"Foreign investors are pumping more money into Brazil's financial sector while turning away from mining and steel companies, a study by stock exchange operator B3 and analytics firm Neoway showed on Monday.",2023-09-25 18:09:11
"Global crude steel production in August rose 2.2% from a year earlier to 152.6 million tonnes, World Steel Association data showed on Monday.",2023-09-25 09:05:13
"Prices of iron ore, steel and steelmaking ingredients in China slumped on Thursday, as risk sentiment was hit after the U.S. Federal Reserve signalled another rate hike by year-end and tighter monetary policy through 2024.",2023-09-21 09:27:22
"Sept 21 - Britain's FTSE 100 index is seen opening lower on Thursday, with futures down 0.9%.",2023-09-21 06:56:23
"Iron ore futures edged higher on Wednesday after trading in a tight range, as signs of economic stabilisation in China helped offset worries over the struggling property sector in the world's top steel producer.",2023-09-20 07:24:16
"Iron ore futures edged up on Wednesday after trading in a tight range, as signs of economic stabilisation in China helped offset worries over the struggling property sector in the world's top steel producer.",2023-09-20 05:09:02
"Rio Tinto has been solely funding preparatory work at the blocks it holds at Simandou, one of the world's largest untapped iron ore deposits, as its Chinese partners are yet to make their funds available, two sources close to the matter said.",2023-09-18 12:51:49
"Rio Tinto has been solely funding preparatory work at the blocks it holds at Simandou, one of the world's largest untapped iron ore deposits, as its Chinese partners are yet to make their funds available, two sources close to the matter said.",2023-09-18 12:51:49
"Rio Tinto , has been solely funding preparatory work at the blocks it holds at Simandou, one of the world's largest untapped iron ore deposits, as its Chinese partners are yet to make their funds available, two sources close to the matter said.",2023-09-18 12:51:40
"Australian shares jumped on Friday in broad-based buying, with mining stocks leading the gains, as investors looked ahead to August economic data from China, the country's biggest trading partner.",2023-09-15 01:42:11
"The European Union should ensure its plans to impose 20% to 35% tariffs on imports of high-carbon goods like steel, iron ore and cement comply with World Trade Organization rules, China said on Thursday, and not overstep agreed global green trade policies.",2023-09-14 10:57:50
"The United States and Saudi Arabia are in talks to secure metals in Africa needed to help them with their energy transitions, the Wall Street Journal reported on Sunday, citing people with knowledge of the talks.",2023-09-10 13:57:28
* Mexican inflation slows for seventh consecutive month in Aug * Peru president reshuffles cabinet for second time in six months * POLL-Argentina peso at risk of another devaluation post election * Colombia Aug inflation awaited (Updated at 3:18 pm ET/ 1918 GMT) By Ankika...,2023-09-07 19:53:02
* Mexican inflation slows for seventh consecutive month in Aug * Peru president reshuffles cabinet for second time in six months * POLL-Argentina peso at risk of another devaluation post election * Colombia Aug inflation awaited (Updated at 3:18 pm ET/ 1918 GMT) By Ankika...,2023-09-07 19:53:02
* Mexican inflation slows for seventh consecutive month in Aug * Peru president reshuffles cabinet for second time in six months * POLL-Argentina peso at risk of another devaluation post election * Colombia Aug inflation awaited By Ankika Biswas Sept 7 (Reuters) - Latin...,2023-09-07 14:46:03
"China will strengthen regulation and price analysis on iron ore, and crack down on regulatory violations to maintain market order, the state planner said on Thursday.",2023-09-07 11:57:36
"China will strengthen regulation and price analysis on iron ore, and crack down on regulatory violations to maintain market order, the state planner said on Thursday.",2023-09-07 11:57:36
"China's imports of iron ore in August climbed 13.8% from July, customs data showed on Thursday, fuelled by growing demand from steel mills ramping up production ahead of peak construction months.",2023-09-07 04:55:59
"China's imports of iron ore in August climbed 13.8% from July, customs data showed on Thursday, fuelled by growing demand from steel mills ramping up production ahead of the peak construction months.",2023-09-07 04:27:10
Brazilian miner Vale said on Wednesday it has signed an agreement with Sweden-based H2 Green Steel to study the development of industrial hubs in Brazil and North America.,2023-09-06 12:19:53
"Brazilian miner Vale said on Tuesday it expects to start building ""mega hubs"" in Middle Eastern countries next year to make low-carbon iron ore products for the steel industry, with the first one becoming operational in 2027.",2023-09-05 16:23:49
"Authorities from Argentina's Mendoza province have finalized the selection process for a $1 billion investor to help develop a potash mine, the governor said on Monday, more than a decade after Brazil's Vale SA shelved the project amid price pressures.",2023-09-04 22:18:44
Iron ore futures clung to modest gains on Monday amid optimism over top global steel producer China's policy support for its struggling property sector.,2023-09-04 07:47:42
"Australian mining giant BHP said on Monday a Brazilian court had approved the reorganisation plan for its Samarco joint venture, clearing the path for the cash-strapped Brazilian miner to move ahead with a $3.7 billion debt restructuring.",2023-09-03 23:13:41
"Nigeria plans to set up the Nigerian Solid Minerals Corporation, a state-backed company to help attract investments into the extraction of gold, coal, iron-ore, bitumen, lead, limestone and baryte, a minister said on Sunday.",2023-09-03 18:16:56
"Nigeria plans to set up the Nigerian Solid Minerals Corporation, a state-backed company to help attract investments into the extraction of gold, coal, iron-ore, bitumen, lead, limestone and baryte, a minister said on Sunday.",2023-09-03 18:16:56
"Guy Debelle, former Fortescue Future Industries' (FFI) finance chief, has resigned from the board of the iron ore miner's green energy unit to join critical minerals firm Tivan Ltd, the Australian Financial Review reported.",2023-08-31 23:51:35
"Brazilian miner Vale has started test loads of its iron ore briquette and is preparing to begin serving a backlog of customers, a top executive said, saying the new product should help steelmakers cut their carbon emissions up to 10%.",2023-08-31 11:15:58
"Australia's Fortescue said on Thursday that Christine Morris, the chief financial officer (CFO) of its metals division, has left the company nearly three months after being appointed to the role.",2023-08-31 08:53:41
"China will continue to cap steel output this year, the general manager of state-owned Baosteel said on Thursday, confirming the continuation of a two year old zero-growth policy designed to limit carbon emissions from polluting steel mills.",2023-08-31 07:39:41
"Nippon Steel Corp, Japan's top steelmaker, expects profit margins on steel sales in Asia will remain weak through March because of sluggish demand in the world's top consumer China and in the region, a senior executive said.",2023-08-30 17:04:33
"Nippon Steel Corp, Japan's top steelmaker, expects profit margins on steel sales in Asia will remain weak through March because of sluggish demand in the world's top consumer China and in the region, a senior executive said.",2023-08-30 17:04:33
"China's biggest listed steelmaker Baoshan Iron & Steel on Wednesday reported a 41.6% fall in net profit in the first half of 2023, after sluggish steel demand reduced revenue while high raw material prices ate into profitability.",2023-08-30 10:34:03
Iron ore prices have rallied despite flagging steel demand from the ailing Chinese property sector as Chinese mills maintain output in the absence of a firm government production cap and replenish low inventories of the raw material.,2023-08-30 03:38:33
Iron ore prices have rallied despite flagging steel demand from the ailing Chinese property sector as Chinese mills maintain output in the absence of a firm government production cap and replenish low inventories of the raw material.,2023-08-30 03:38:33
"Fertilizer maker Mosaic's CEO James O'Rourke would step down from his position effective Dec 31, ahead of his planned retirement next year, the company said on Tuesday.",2023-08-29 21:43:03
"Fertilizer maker Mosaic's CEO James O'Rourke would step down from his position effective Dec 31, ahead of his planned retirement next year, the company said on Tuesday.",2023-08-29 20:52:39
"Brazilian miner Vale SA sees declining steel demand in China, the world's largest producer, but the situation is not as dire as some indicators suggest, the miner's vice president of iron ore solutions told Reuters.",2023-08-29 17:57:43
"Brazilian miner Vale SA sees declining steel demand in China, the world's largest producer, but the situation is not as dire as some indicators suggest, the miner's vice president of iron ore solutions told Reuters.",2023-08-29 17:57:43
"Australia's Fortescue on Monday reported a $1 billion pre-tax impairment charge associated with its flagship magnetite growth project, while posting its lowest annual profit in three years amid a surprise senior-management overhaul.",2023-08-28 01:49:46
"Australia's Fortescue on Monday reported a $1 billion pre-tax impairment charge associated with its flagship magnetite growth project, while posting its lowest annual profit in three years amid a surprise senior-management overhaul.",2023-08-28 01:49:46
"Australia's Fortescue board made a mutual decision with metals division CEO Fiona Hick that she would step down on Aug. 27, energy division CEO Mark Hutchinson said on Monday. The departure of Hick after less than six months in the role has caught analysts off guard as Fortescue...",2023-08-28 01:33:44
"Australian miner Fortescue on Monday reported its worst annual profit in three years, as it bore the brunt of a large one-time cost associated with its Iron Bridge operations amid a surprise senior-management overhaul.",2023-08-28 00:43:22
"Australia's Fortescue said on Monday its metals division head and co-CEO Fiona Hick was leaving after less than six months in the role, being replaced by Dino Otranto.",2023-08-28 00:24:42
Australian miner Fortescue on Monday reported a 23% drop in annual profit hurt by declining prices for iron ore and the brunt of an impairment charge of $726 million relating to its Iron Bridge project.,2023-08-28 00:03:40
"Britain's Serious Fraud Office (SFO) has dropped a decade-long criminal investigation into allegations of bribery and corruption at Kazakh miner ENRC, the agency said on Thursday.",2023-08-24 14:47:54
"Australia's economy is well-placed to benefit from strong demand for critical minerals with the global appetite expected to rise by 350% by 2040, official forecasts showed on Wednesday, as many big economies rush to hit net zero emission targets by 2050.",2023-08-23 12:33:40
"Australia's economy is well-placed to benefit from strong demand for critical minerals with the global appetite expected to rise by 350% by 2040, official forecasts showed on Wednesday, as many big economies rush to hit net zero emission targets by 2050.",2023-08-23 12:33:40
"BHP Group reported its lowest annual profit in three years, but the decline isn't the most worrying factor for the world's biggest mining company. That prize goes to an increasingly uncertain outlook for its key commodities.",2023-08-22 01:59:43
"BHP Group CEO Mike Henry said on Tuesday that BHP expected China's growth momentum to pick up towards the end of the year, as sectors including green infrastructure, infrastructure more broadly, automotive and housing completions remained ""pretty strong"".",2023-08-22 00:34:31
"BHP Group on Tuesday reported its lowest annual profit in three years and warned that lag effects of higher interest rates would impact growth in the developed world in the coming financial year, with demand supported by India and China.",2023-08-21 22:24:21
"BHP Group on Tuesday reported its lowest annual profit in three years and warned that lag effects of higher interest rates would impact growth in the developed world in the coming financial year, with demand supported by India and China.",2023-08-21 22:24:21
"BHP Group on Tuesday reported its lowest annual profit in three years and warned that lag effects of higher interest rates would impact growth in the developed world in the coming financial year, with demand supported by India and China.",2023-08-21 22:24:21
"BHP Group on Tuesday reported its lowest annual profit in three years and warned that lag effects of higher interest rates would impact growth in the developed world in the coming financial year, with demand supported by India and China.",2023-08-21 22:24:21
"BHP Group on Tuesday reported a sharp drop of 37% in its annual profit, hit by declining prices for its key commodities, including iron ore, copper, and metallurgical coal.",2023-08-21 22:19:15
"BHP Group on Tuesday reported a sharp drop of 37% in its annual profit, hit by declining prices for its key commodities, including iron ore, copper, and metallurgical coal.",2023-08-21 22:19:15
"Australian shares dropped on Monday, led by financials and technology sub-indexes, as investors stayed on the sidelines to gauge the U.S. Federal Reserve's outlook for interest rates this week and also awaited more policy measures from Beijing.",2023-08-21 01:40:17
"Australia's Indigenous groups are taking equity stakes in the growing renewable energy industry as they seek to protect their community interests, prevent encroachment and obtain a bigger share of the profits in what is built on their lands.",2023-08-17 21:05:58
"A swathe of poor economic data in China is putting pressure on the price of iron ore, which is struggling to hold above the key psychological level of $100 a metric ton.",2023-08-15 04:29:05
"China produced 90.8 million metric tons of crude steel in July, up 11.5% from the same period a year earlier, the statistics bureau said on Tuesday.",2023-08-15 02:11:06
